TRACT,GEOID,TOTPOP,WHT_PCT,HOUSVCNY_PCT,SQMILES,OI_ALLCOMP-LEV,OI_EDCOMP-LEV,OI_HECOMP-LEV,OI_NBCOMP-LEV,OI_ALLCOMP,OI_EDCOMP,OI_HECOMP,OI_NBCOMP,CNPY_MEAN,CNPY_STD,CNPY_VRTY,CNPY_MED,IMPSRF_MEAN,IMPSRF_STD,IMPSRF_VRTY,IMPSRF_MED
93.26,39049009326,1747,0.304522038,11.21121121,0.31106399,Low,Very Low,Moderate,Moderate,-0.20783,-0.671241,-0.0347,0.082452,37.59865471,26.00250761,86,34,24.75167785,30.66417786,96,1
93.62,39049009362,6436,0.732131759,6.398910824,1.60966705,Moderate,Low,Moderate,Moderate,0.025901,-0.18716,0.09808,0.166782,20.12321968,15.22633614,86,17,34.62251941,22.83853464,101,35
93.71,39049009371,5528,0.348408104,10.37957676,1.33800251,Moderate,High,Moderate,Moderate,0.104085,0.20967,0.053157,0.049428,18.67778936,17.68433195,90,13,39.16857738,30.53065473,101,40
93.72,39049009372,4306,0.359498374,7.121836374,0.88519887,Low,Very Low,Very High,Very Low,-0.338823,-0.726715,0.329893,-0.619648,18.99254024,16.30855381,87,15,37.12392157,22.17117755,101,41
93.73,39049009373,5773,0.293781396,10.06928406,1.22858708,Very Low,Low,Moderate,Very Low,-0.422438,-0.330124,-0.014243,-0.922948,15.62857143,16.71232015,87,10,26.98275375,24.0673705,99,28
93.74,39049009374,8056,0.441285998,8.57538036,2.5274533,Moderate,Moderate,High,Low,-0.037645,-0.161997,0.233382,-0.184318,10.11952191,12.10533301,88,6,50.73673357,31.20945507,101,51
16,39049001600,1682,0.283590963,27.5974026,0.18925754,Very Low,Very Low,Very Low,Very Low,-0.597437,-0.541491,-0.501508,-0.749312,8.391143911,6.012759724,30,8,68.72794118,17.14298301,71,66
15,39049001500,2031,0.048744461,16.32420091,0.50662032,Very Low,Very Low,Very Low,Very Low,-0.931319,-0.718125,-0.434982,-1.64085,10.04112406,11.3388078,65,7,58.99245024,23.45598423,100,60
14,39049001400,1543,0.140635126,28.03129074,0.71611546,Very Low,Low,Very Low,Very Low,-0.597708,-0.321528,-0.632758,-0.838838,7.372149442,7.343104559,50,5,71.95191841,20.58114208,92,74
13,39049001300,6583,0.860397995,6.218274112,0.26410175,Very Low,Very Low,Moderate,Low,-0.416151,-1.146723,-0.039445,-0.062286,11.05526316,6.137854818,36,10,69.10686016,14.70888771,66,68
12,39049001200,4822,0.897552883,4.257703081,0.25914733,Low,Very Low,Moderate,Moderate,-0.329186,-1.019079,-0.010395,0.041916,17.55555556,15.31614387,69,13,59.60053619,22.66136535,94,61
